%xdss
@relation 'tipo de prestamo'

%ATRIBUTOS POR ORDEN DE APARICIÓN EN LA DESCRIPCIÓN
@attribute monto INTEGER
@attribute antiguedad INTEGER
@attribute edad INTEGER
@attribute prestamo {'A SOLA FIRMA',EXTRAORDINARIO}

%DATOS DE LOS PARTICIPANTES
@data
15800, 1281, 27895, EXTRAORDINARIO
240065, 663, 21040, EXTRAORDINARIO
240665, 994, 21371, EXTRAORDINARIO
245165, 2850, 23227, EXTRAORDINARIO
245465, 3252, 23629, 'A SOLA FIRMA'
246065, 3570, 23947, EXTRAORDINARIO
6000, 393, 25041, EXTRAORDINARIO
6000, 568, 25216, EXTRAORDINARIO
6229, 3115, 27763, 'A SOLA FIRMA'
6229, 3192, 27840, 'A SOLA FIRMA'
9229, 3337, 27985, EXTRAORDINARIO
9629, 4249, 28897, 'A SOLA FIRMA'
277000, 659, 23628, EXTRAORDINARIO
279200, 986, 23955, EXTRAORDINARIO
631200, 1391, 24360, EXTRAORDINARIO
632800, 1826, 24795, EXTRAORDINARIO
633200, 2063, 25032, EXTRAORDINARIO
633900, 2973, 25942, EXTRAORDINARIO
64000, 980, 18748, EXTRAORDINARIO
72100, 1610, 19378, EXTRAORDINARIO
120000, 2124, 19892, EXTRAORDINARIO
124200, 3044, 20812, EXTRAORDINARIO
125800, 3468, 21236, EXTRAORDINARIO
23556, 1667, 24158, EXTRAORDINARIO
46156, 2014, 24505, EXTRAORDINARIO
49756, 2579, 25070, EXTRAORDINARIO
51856, 3225, 25716, EXTRAORDINARIO
52656, 3519, 26010, EXTRAORDINARIO
53356, 3951, 26442, EXTRAORDINARIO
206800, 987, 19518, EXTRAORDINARIO
215200, 1666, 20197, EXTRAORDINARIO
218200, 2113, 20644, EXTRAORDINARIO
640900, 2759, 13488, EXTRAORDINARIO
23100, 3230, 21071, 'A SOLA FIRMA'
23200, 3419, 21260, 'A SOLA FIRMA'
27800, 4054, 21895, 'A SOLA FIRMA'
28000, 4196, 22037, 'A SOLA FIRMA'
28587, 4396, 22237, 'A SOLA FIRMA'
96600, 2315, 14594, EXTRAORDINARIO
156000, 1964, 14243, EXTRAORDINARIO
35000, 1693, 21424, EXTRAORDINARIO
58400, 924, 24039, EXTRAORDINARIO
110000, 865, 23648, EXTRAORDINARIO
19000, 938, 21392, EXTRAORDINARIO
200000, 664, 23684, EXTRAORDINARIO
223600, 1029, 24049, EXTRAORDINARIO
283800, 1099, 24119, EXTRAORDINARIO
309000, 1118, 24138, EXTRAORDINARIO
336000, 1119, 24139, EXTRAORDINARIO
371000, 1139, 24159, EXTRAORDINARIO
411200, 1152, 24172, EXTRAORDINARIO
429200, 1154, 24174, EXTRAORDINARIO
449200, 1159, 24179, EXTRAORDINARIO
484200, 1167, 24187, EXTRAORDINARIO
502200, 1173, 24193, EXTRAORDINARIO
522200, 1179, 24199, EXTRAORDINARIO
557200, 1187, 24207, EXTRAORDINARIO
607200, 1194, 24214, EXTRAORDINARIO
657200, 1203, 24223, EXTRAORDINARIO
17000, 2035, 25545, EXTRAORDINARIO
35000, 1712, 13380, EXTRAORDINARIO
149700, 5283, 16951, EXTRAORDINARIO
151200, 1964, 15864, EXTRAORDINARIO
44600, 1814, 22428, EXTRAORDINARIO
48200, 2910, 23524, EXTRAORDINARIO
22000, 2209, 29276, 'A SOLA FIRMA'
22400, 2562, 29629, 'A SOLA FIRMA'
22600, 3024, 30091, 'A SOLA FIRMA'
75000, 1335, 24386, EXTRAORDINARIO
212800, 669, 13786, EXTRAORDINARIO
215200, 1186, 14303, EXTRAORDINARIO
219000, 1784, 14901, 'A SOLA FIRMA'
221400, 2166, 15283, EXTRAORDINARIO
226200, 2910, 16027, EXTRAORDINARIO
228500, 3871, 16988, 'A SOLA FIRMA'
228700, 5208, 18325, 'A SOLA FIRMA'
216000, 775, 22791, EXTRAORDINARIO
209241, 1889, 23814, 'A SOLA FIRMA'
234341, 2581, 24506, 'A SOLA FIRMA'
19800, 2563, 27464, 'A SOLA FIRMA'
89769, 1431, 27048, EXTRAORDINARIO
113710, 3072, 28689, EXTRAORDINARIO
104200, 1046, 22060, EXTRAORDINARIO
110600, 2519, 23533, EXTRAORDINARIO
20400, 2338, 23499, EXTRAORDINARIO
54912, 1375, 22220, EXTRAORDINARIO
15200, 1900, 21715, EXTRAORDINARIO
18800, 2418, 22233, EXTRAORDINARIO
21300, 3626, 23441, EXTRAORDINARIO
53000, 1403, 14011, EXTRAORDINARIO
55400, 1767, 14375, EXTRAORDINARIO
86200, 1898, 14506, EXTRAORDINARIO
89800, 2500, 15108, EXTRAORDINARIO
2100, 5349, 17572, 'A SOLA FIRMA'
136500, 1967, 14190, EXTRAORDINARIO
141458, 2787, 15010, 'A SOLA FIRMA'
230629, 3090, 15313, EXTRAORDINARIO
231229, 3474, 15697, EXTRAORDINARIO
232129, 3781, 16004, 'A SOLA FIRMA'
2100, 5349, 18579, 'A SOLA FIRMA'
84200, 940, 14170, EXTRAORDINARIO
100000, 1598, 14828, EXTRAORDINARIO
110564, 2787, 16017, 'A SOLA FIRMA'
200052, 2975, 16205, 'A SOLA FIRMA'
900452, 3090, 16320, EXTRAORDINARIO
902752, 3781, 17011, 'A SOLA FIRMA'
150000, 2460, 10790, EXTRAORDINARIO
44400, 1641, 23745, EXTRAORDINARIO
56600, 1403, 23189, EXTRAORDINARIO
83800, 3274, 25060, EXTRAORDINARIO
118600, 1740, 23526, EXTRAORDINARIO
121000, 2124, 23910, EXTRAORDINARIO
130006, 1325, 20825, EXTRAORDINARIO
134006, 2006, 21506, EXTRAORDINARIO
138806, 3900, 23400, EXTRAORDINARIO
102400, 1789, 21815, EXTRAORDINARIO
9700, 907, 23500, EXTRAORDINARIO
130000, 1325, 23987, EXTRAORDINARIO
134200, 3900, 26562, EXTRAORDINARIO
33000, 862, 24455, EXTRAORDINARIO
1400, 3272, 25341, EXTRAORDINARIO
55512, 4152, 26221, EXTRAORDINARIO
58700, 1423, 20553, EXTRAORDINARIO
61500, 1936, 21066, EXTRAORDINARIO
62300, 2180, 21310, EXTRAORDINARIO
25200, 2524, 25347, EXTRAORDINARIO
23335, 1907, 22571, EXTRAORDINARIO
76900, 3049, 17192, EXTRAORDINARIO
77300, 3186, 17329, 'A SOLA FIRMA'
78800, 3717, 17860, 'A SOLA FIRMA'
79100, 4089, 18232, EXTRAORDINARIO
120000, 2054, 16197, EXTRAORDINARIO
80004, 2660, 15262, EXTRAORDINARIO
80804, 3065, 15667, EXTRAORDINARIO
81104, 3203, 15805, 'A SOLA FIRMA'
81204, 4104, 16706, EXTRAORDINARIO
10000, 1001, 22562, EXTRAORDINARIO
20400, 1707, 23268, EXTRAORDINARIO
2083062, 1065, 25785, EXTRAORDINARIO
2158462, 1148, 25868, EXTRAORDINARIO
19600, 1594, 17419, EXTRAORDINARIO
